CLUSTER;FILIAL DESTINO;GH;FECHAMENTO 1200;FREQ;CUBAGEM TOTAL;CUSTO MEDIO TOTAL;QTDE
SPGSP039;1603;1.0;SEG/TER;2.0;8.5708;100824.77;108
SPGSP039;1613;1.0;SEG/TER;2.0;21.4507;124038.31;366
SPGSP040;1029;1.0;SEX/SEG;2.0;4.9529;117632.04;277
SPGSP040;2098;1.0;SEX/SEG;2.0;9.8205;158767.4;192
SPGSP041;1239;1.0;QUA;1.0;2.4575;53437.61;77
SPGSP041;1372;1.0;SEG;1.0;4.9199;109262.64;108
SPGSP041;1394;1.0;SEG;1.0;12.5353;97870.18000000001;148
SPGSP041;509;1.0;QUA;1.0;0.9332;15251.57;33
SPGSP042;1068;1.0;SEX;1.0;10.8689;106248.68000000001;229
SPGSP042;1295;1.0;QUI;1.0;10.7558;173312.87;210
SPGSP042;1822;1.0;QUI;1.0;5.1677;149455.3;180
SPGSP042;203;1.0;QUI;1.0;7.4137;80332.67;99
SPGSP044;1294;1.0;SEG/TER/QUA/QUI/SEX;5.0;4.0587;43938.59;250
SPGSP046;1008;1.0;SEG/QUA/QUI/SEX;4.0;2.7667;55693.81;206
SPGSP046;1391;1.0;QUI/TER;2.0;5.5316;57207.73;61
SPGSP046;2233;1.0;QUI/TER;2.0;1.8686;57588.93;209
SPGSP047;1456;1.0;QUI/TER;2.0;20.0671;127752.86;424
SPGSP047;2032;1.0;QUI/TER;2.0;3.4864;71944.34;73
SPGSP292;1455;1.0;TER;1.0;6.7221;59214.63;57
SPGSP292;2160;1.0;TER;1.0;3.2434;13176.93;10
SPGSP293;1213;1.0;SEG/QUA;2.0;8.6091;73727.05;95
SPGSP293;2120;1.0;SEG/QUA;2.0;2.1976;52193.119999999995;53
SPGSP302;1353;1.0;SEG/QUA;2.0;10.3935;122904.16;231
SPGSP302;1411;1.0;SEG/QUA;2.0;3.4778000000000002;21578.6;131
SPGSP302;1855;1.0;SEG/QUA;2.0;4.6056;31089.58;48
SPGSP303;1374;1.0;SEX/TER;2.0;5.747;43158.38;68
SPGSP303;1563;1.0;SEX/TER;2.0;6.7232;69773.48;115
SPGSP303;1594;1.0;SEX/TER;2.0;10.7018;100482.99;151
SPGSP9001;1408;1.0;SEX;1.0;11.7329;118041.64;170
SPGSP9018;1146;1.0;QUA;1.0;2.8474;15335.15;84
SPGSP9025;1073;1.0;SEG/QUA;2.0;7.234;79482.83;372
SPGSP9029;1389;1.0;QUA;1.0;2.3758;11458.14;7
SPGSP9214;1115;1.0;QUI/SEG;2.0;16.8795;339442.66;447
SPINT005;1373;1.0;QUI/TER;2.0;2.9752;12273.41;24
SPINT005;1480;1.0;QUI/TER;2.0;3.4563;154463.52;203
SPINT005;2104;1.0;QUI/TER;2.0;0.2221;9370.26;62
SPINT005;4009;1.0;QUI/TER;2.0;1.4477;38045.96;54
SPINT021;1293;1.0;QUI/SEX/TER;3.0;6.5089;148933.15;390
SPINT021;1396;1.0;QUI/TER;2.0;4.7871;28920.25;47
SPINT023;1369;14.0;TER;1.0;4.7967;73728.05;89
SPINT023;1904;14.0;TER;1.0;0.9412;8441.56;20
SPINT048;1094;14.0;QUA/QUI/SEX/TER;4.0;1.9212;13843.68;28
SPINT048;1230;14.0;QUA/QUI/SEX/TER;4.0;3.392;36400.57;45
SPINT050;1083;1.0;SEG/TER/QUA/QUI;4.0;10.5467;188652.23;177
SPINT050;1407;1.0;SEG/TER/QUA/QUI;4.0;4.9249;68236.05;184
SPINT051;1229;1.0;QUI/SEG;2.0;4.4088;65249.77;102
SPINT051;1523;1.0;QUI/SEG;2.0;14.082699999999999;153908.81;173
SPINT052;1045;1.0;QUI/SEG;2.0;13.5656;164221.08;174
SPINT052;1095;1.0;QUI/SEG;2.0;7.5986;106557.51;153
SPINT052;1318;1.0;QUI/SEG;2.0;18.0113;355028.07;525
SPINT053;1049;1.0;SEX;1.0;12.253;91526.41;340
SPINT053;516;1.0;SEX;1.0;5.2324;92981.57;100
SPINT054;1036;1.0;QUI/QUA;2.0;7.7637;62690.07;186
SPINT054;1953;1.0;QUI/QUA;2.0;1.9309;8994.949999999999;16
SPINT055;1785;1.0;SEG/QUA;2.0;1.0393;15825.71;22
SPINT056;1084;1.0;SEG/TER/QUA/QUI/SEX;5.0;3.561;22498.99;45
SPINT056;2134;1.0;SEG/QUA;2.0;2.0596;9161.96;6
SPINT056;2464;1.0;QUI;1.0;0.5622;13583.039999999999;30
SPINT057;1039;14.0;QUI/TER;2.0;4.7223;39350.57;68
SPINT058;1074;14.0;SEG/TER/QUI/SEX;4.0;5.444;119072.13;149
SPINT058;1082;14.0;SEG/TER/QUI/SEX;4.0;6.2513;139111.44;196
SPINT059;1078;14.0;QUA/QUI/TER;3.0;2.0159;12477.65;14
SPINT059;1085;14.0;SEG/TER/QUA/QUI;4.0;3.4991999999999996;68100.43000000001;79
SPINT059;1595;14.0;QUA/QUI/TER;3.0;1.4827000000000001;23278.64;23
SPINT060;1021;1.0;QUI/SEG;2.0;5.8149;106431.75;156
SPINT060;1141;1.0;QUI/SEG;2.0;9.4963;173971.87;204
SPINT061;1127;1.0;SEX/QUA;2.0;11.7826;140683.85;338
SPINT061;1392;1.0;SEX/QUA;2.0;6.5603;77468.5;79
SPINT062;1130;1.0;SEG/QUA;2.0;2.4564;39281.39;143
SPINT062;1565;1.0;SEG/QUA;2.0;2.7622;29924.14;30
SPINT064;1142;1.0;QUI/SEG;2.0;12.1436;154226.96;319
SPINT064;2170;1.0;QUI/SEG;2.0;2.9493;26457.15;41
SPINT068;1107;1.0;QUI/SEG/QUA;3.0;2.878;47147.97;195
SPINT068;1138;1.0;SEG/TER/QUA/QUI;4.0;1.0868;12700.84;65
SPINT068;1375;1.0;QUI/SEG/QUA;3.0;4.3988000000000005;26387.77;69
SPINT068;1918;1.0;QUI/SEG/QUA;3.0;5.2344;108744.66;351
SPINT069;1120;1.0;SEX/TER;2.0;3.1379;25502.920000000002;38
SPINT069;458;1.0;SEX/TER;2.0;2.1645;19314.05;13
SPINT070;1244;1.0;SEX/TER;2.0;10.4068;64319.4;227
SPINT070;1266;1.0;SEX/TER;2.0;2.4316;18194.73;171
SPINT072;1089;14.0;SEG/TER/QUA/SEX;4.0;0.5797;18227.96;22
SPINT072;1328;14.0;SEG/TER/QUA/SEX;4.0;1.4234;22495.12;127
SPINT073;1054;1.0;SEG/TER/QUA/SEX;4.0;2.6935;44510.09;41
SPINT073;1967;1.0;SEG;1.0;2.4399;31322.82;59
SPINT073;2305;1.0;SEG;1.0;4.219;44754.99;43
SPINT074;1109;1.0;QUI/TER;2.0;30.2491;98191.28;106
SPINT074;1963;1.0;QUI/TER;2.0;1.8814;53685.36;53
SPINT075;1477;1.0;TER/SEX;2.0;6.1817;21125.09;31
SPINT075;1485;1.0;TER/SEX;2.0;1.5475;69837.71;80
SPINT123;1136;1.0;SEG/SEX;2.0;12.2093;192894.96;316
SPINT123;1250;1.0;SEG/SEX;2.0;10.5571;195319.82;177
SPINT123;1457;1.0;SEG/SEX;2.0;6.4232;87250.29;119
SPINT127;1607;14.0;QUI/SEG;2.0;15.4703;185780.54;345
SPINT128;1370;1.0;QUI/QUA;2.0;7.2926;135971.61;140
SPINT128;468;1.0;QUI/QUA;2.0;3.1736;162477.55;121
SPINT129;1055;1.0;QUI/SEG;2.0;15.1731;204955.6;229
SPINT130;1154;14.0;QUA/SEX;2.0;4.817;55447.41;150
SPINT130;1371;14.0;QUA/SEX;2.0;3.4079;160439.51;126
SPINT130;1786;14.0;QUA/SEX;2.0;1.1999;107676.31;66
SPINT130;469;14.0;QUA/SEX;2.0;1.7572;82321.26;65
SPINT135;1364;14.0;QUA;1.0;10.482800000000001;164794.19999999998;237
SPINT135;623;14.0;QUA;1.0;3.9147;40463.41;49
SPINT208;1197;14.0;QUI/SEG;2.0;6.9091000000000005;74206.81;128
SPINT208;1958;14.0;QUI/SEG;2.0;5.3219;39437.44;103
SPINT250;1051;14.0;SEG/TER/QUA/SEX;4.0;5.4035;39742.89;142
SPINT250;1907;14.0;QUA/SEX/TER;3.0;1.1181;10674.82;13
SPINT250;2182;14.0;QUA/SEX/TER;3.0;2.7989;9879.11;10
SPINT251;1790;1.0;SEX;1.0;5.1334;110327.7;137
SPINT264;1368;14.0;QUA/SEG;2.0;16.6634;131925.93;147
SPINT264;2184;14.0;QUA/SEG;2.0;4.2579;41551.54;35
SPINT265;1140;1.0;QUI/QUA;2.0;7.7928;51898.049999999996;87
SPINT265;1228;1.0;QUI/QUA;2.0;5.0857;57124.72;176
SPINT268;1000;1.0;SEG/QUA;2.0;22.6295;547092.11;288
SPINT268;1750;1.0;SEG/QUA;2.0;0.5053;11010.75;19
SPINT290;1511;1.0;QUI/QUA;2.0;0.2653;24988.960000000003;28
SPINT290;82;1.0;QUI/QUA;2.0;0.5902000000000001;9171.07;16
SPINT9009;1496;14.0;QUI;1.0;21.1728;191759.28;491
SPINT9013;2099;1.0;SEX;1.0;3.2809;31262.670000000002;49
SPINT9015;2151;14.0;SEG;1.0;0.33690000000000003;18264.42;26
SPINT9017;2162;1.0;SEX;1.0;2.6986;23722.98;32
SPINT9022;1533;1.0;QUA;1.0;5.3822;54161.96;58
SPINT9023;1623;14.0;SEX;1.0;5.3986;95370.72;223
SPINT9027;2133;1.0;QUI;1.0;3.7163;39930.71;43
SPINT9028;2097;1.0;QUA;1.0;0.38999999999999996;7710.87;60
SPINT9031;1277;1.0;SEG/QUA;2.0;2.258;21266.88;127
SPINT9032;2082;1.0;SEX/TER;2.0;1.342;12587.99;17
SPINT9033;2086;1.0;TER/SEX;2.0;3.1189999999999998;24066.22;21
SPINT9035;1453;1.0;QUA/SEX;2.0;2.5457;23505.22;22
SPINT9040;2180;14.0;TER;1.0;0.1432;21414.649999999998;26
SPINT9041;1255;1.0;QUA/SEX;2.0;1.4439;17024.67;32
SPINT9042;1817;1.0;QUA;1.0;1.187;20429.809999999998;29
SPINT9211;1651;1.0;QUI;1.0;6.6179;227114.99;180
SPINT9215;2176;1.0;SEG;1.0;2.5025;71703.93;86
SPINT9219;1214;1.0;QUI/TER;2.0;6.1561;83433.21;252
SPINT9617;2345;1.0;QUA;1.0;0.0884;10942.5;11
SPINT9696;1683;1.0;SEX;1.0;7.2557;143988.79;265
SPLTR063;1067;1.0;SEG/TER/QUA/QUI/SEX;5.0;6.089;57486.53;43
